name
VEVsQlRRPT0=,Qm9ycmlzb2xlaWdo,RTQxRjVDMg==,VILLAGE,true,100000.0,2002
VEVsQlRRPT0=,TmVuYWdo,RTQxRkdEQQ==,CITY,true,50000.0,2008
VEVsQlRRPT0=,TGltZXJpY2s=,Vjk0RDdENw==,CITY,false,1.0E7,2017
VEVsQlRRPT0=,VGVtcGxlbW9yZQ==,RTQxS0Q3Vg==,CITY,false,120000.0,1997
UlV4TVJVND0=,UG9ydGxhb2lzZQ==,QTEyRjZHOA==,LARGE_TOWN,true,475000.0,2001
UlV4TVJVND0=,VGh1cmxlcw==,RTQxOE4yUw==,CITY,false,100000.0,2010
UlV4TVJVND0=,S2luc2FsZQ==,QjIzRjlONA==,LARGE_TOWN,false,1800000.0,2012
U0VGT1RrRkk=,UG9ydGxhb2lzZQ==,QTEyOEIzMw==,VILLAGE,true,120000.0,1998
U0VGT1RrRkk=,S2luc2FsZQ==,QjIzOEMzRQ==,COUNTRYSIDE,false,9000000.0,2008
U0VGT1RrRkk=,TGltZXJpY2s=,Vjk0RzgzTg==,CITY,false,1200000.0,2004
